ID,LOCATION,ADDRESS,LAT,LONG
P328594 ,ZIPPYS BIKES INC,3900 PACIFIC AVENUE WILDWOOD NJ 08260,38.9876223,-74.8188368
W1089001,Candy Kitchen,1 S Boardwalk Rehoboth Beach DE 19971,38.7162394,-75.0761948
N1080681,Walgreen's - Trolley Square #11014,1 Trolley Square Wilmington DE 19806,39.7580425,-75.5619341
N1080647,Walgreen's - Commons at Thornbury #11030,10 E Street Rd West Chester PA 19382,39.9194062,-75.5749289
83730398,Buffalo Wild Wings - Newark,100 Elkton Rd Newark DE 19711,39.6630411,-75.7786799
P328380,BRINTON LAKE NAILS SPA,100 Evergreen Dr #125 Glen Mills PA 19342,39.8860302,-75.5310363
P328381,BRT RCC 1,100 Matsonford Rd Radnor PA 19087,40.0497166,-75.3555756
P328382,BRT RCC 4,100 Matsonford Rd Radnor PA 19087,40.0497166,-75.3555756
P328454,HOLIDAY INN EXPRESS PHILA,100 N Christopher Columbus Blvd Philadelphia PA 19106,39.9528064,-75.1404399
,Kennett Square Banking Office,100 Old Forge Lane Kennett Square PA 19348,39.8630467,-75.6781165
P318902,"BJs - Newark, DE #178",100 Pencader Plaza Newark DE 19713,39.6585433,-75.7369219
,University Plaza Banking Office,100 University Plaza Newark DE 19702,39.6676169,-75.6693841
83730080,Newark VFW Post #475,100 Veterans Lane Newark DE 19711,39.6785155,-75.763994
83730728,Sunoco Conshohocken,100 W Ridge Rd Conshohocken PA 19428,40.0792766,-75.3015714
N1080691,Walgreen's - Dover - Independence  #09687,1001 Forrest Avenue Dover DE 19904,39.1594018,-75.5435914
83730752,DuPont Country Club,1001 Rockland Rd Wilmington DE 19803,39.7884745,-75.5641502
83730476,Fourth Street Liberty Gas,1001 W Fourth Street Wilmington DE 19805,39.7446693,-75.5608528
P327835,Punch Line Philly,1004 Canal St Philadelphia PA 19123,39.9647743,-75.1349218
P333383,PINECREST COUNTRY CLUB,101 Country Club Dr Lansdale PA 19446,40.2554408,-75.2392691
83730107,Luk Oil - Conshohocken,101 Crawford Ave Conshohocken PA 19428,40.0683254,-75.3102645
83730222,Landhope - East Street,101 East Street Road Kennett Square PA 19348,39.874968,-75.7171824
83730629,Colour Roxx Salon & Spa,101 Louviers Drive Newark DE 19711,39.7107561,-75.7428611
83730460,Chesapeake Bowl LLC,101 Marlboro Ave Easton MD 21601,38.7814828,-76.0778972
83730394,American Legion Post 7447 - Rehoboth Beach,101 State Road Rehoboth Beach DE 19971,38.7144038,-75.0896311
P327837,BRT -#101,101 W Elm St Conshohocken PA 19428,40.0732329,-75.3087029
,Neck Road Banking Office ,1029 Neck Road Burlington NJ 08016,40.0809043,-74.8195043
83730453,Atlantic Apothecary Smyrna,103 S DuPont Blvd Smyrna DE 19977,39.3009456,-75.6030314
,West Goshen Banking Office,1030 West Chester Pike West Chester PA 19382,39.9675062,-75.5777257
P328572,OCEAN CLUB HOTEL,1035 Beach Av Cape May NJ 08204,38.9320025,-74.9103271
83730516,Heritages #20,105 Eldridge Ave and Rt 322 Williamstown NJ 08094,39.6881956,-75.0061979
,Bridgeport Banking Office,105 W. Fourth St. Bridgeport PA 19405,40.1057615,-75.3446567
,Rosemore Banking Office,1065 W County Line Rd Hatboro PA 19040,40.2110103,-75.1385178
P328550,SANTANGELOs CAF?,107 W Germantown Pike East Norriton PA 19401,40.1461881,-75.3194445
P328395,CLARKEs MARKET,10729 3rd Ave Stone Harbor NJ 08247,39.0464128,-74.7674003
P327831,Tobacco Time,108 Fox Hunt Dr Bear DE 19701,39.6062685,-75.7138855
83730434,McGlynns Pub - Glasgow,108 Peoples Plaza Newark DE 19702,39.601043,-75.746269
83730438,Deer Park Tavern,108 W Main Street Newark DE 19711,39.6832238,-75.7559908
83730504,Heritages #6,11 Tansboro Road Berlin NJ 08009,39.7901723,-74.9281386
83730383,New Castle Farmers Market (South),110 N Dupont Hwy New Castle DE 19720,39.6665443,-75.6002783
83730412,New Castle Farmers Market (North),110 North DuPont Highway New Castle DE 19720,39.6665443,-75.6002783
83730378,Docklands Riverfront,110 S West St Wilmington DE 19801,39.737223,-75.5570841
P333372,ZOTOS DINER,1100 Bethlehem Pike Line Lexington PA 18932,40.2858395,-75.2638722
P327834,The Fillmore #1,1100 Canal St Philadelphia PA 19123,39.9652468,-75.1350606
P327838,Spring Mill Properties,1100 E Hector St Conshohocken PA 19428,40.0759539,-75.2876985
P325942,PA Convention Center - 12th St Concourse,1101 Arch Street Philadelphia PA 19107,39.9553197,-75.1600104
P325940,PA Convention Center - Box Office,1101 Arch Street Philadelphia PA 19107,39.9553197,-75.1600104
P325936,PA Convention Center - Break Room,1101 Arch Street Philadelphia PA 19107,39.9553197,-75.1600104
P325941,PA Convention Center - Gift Shop,1101 Arch Street Philadelphia PA 19107,39.9553197,-75.1600104
P325943,PA Convention Center - Grand Hall,1101 Arch Street Philadelphia PA 19107,39.9553197,-75.1600104
P325939,PA Convention Center - Hall E - 2nd Floor,1101 Arch Street Philadelphia PA 19107,39.9553197,-75.1600104
P325937,PA Convention Center Spiral -?2nd Floor,1101 Arch Street Philadelphia PA 19107,39.9553197,-75.1600104
P325938,PA Convention Center- Terrace Ballroom,1101 Arch Street Philadelphia PA 19107,39.9553197,-75.1600104
83730639,Shoprite at Governors Square #588,1101 Governors Place Bear DE 19701,39.6319391,-75.6649018
P328537,PUB DELI,1101 Markley St Norristown PA 19401,40.1230933,-75.3426526
N1080715,Walgreen's - Ocean Pines #11951,11085 Cathell Rd Berlin MD 21811,38.3783864,-75.1675573
83730622,Uncle Willies - Berlin BP #17,111 Flower Street Berlin MD 21811,38.3242658,-75.2109622
P328483,LAWNSIDE VALERO,111 N White Horse Pike Lawnside NJ 08045,39.8674642,-75.0393703
,Midtown Banking Office,1110 Chestnut Street Philadelphia PA 19107,39.9500168,-75.1592078
P390625,RUNNING DEER GOLF CLUB,1111 Parvin Mill Rd Elmer NJ 08318,39.5282606,-75.1355659
P328598,VINTAGE BAR And GRILL,1116 Old York Rd Abington PA 19001,40.1150943,-75.1217458
N1080648,Walgreen's - Glendale Plaza #11017,1120 Pulaski Highway Bear DE 19701,39.6311014,-75.6616
P328583,UCC #2 - SOUTH BROAD ST,1123 S Broad StA Philadelphia PA 19147,39.9370483,-75.1665313
83730351,Ruddertown Kiosk,113 Dickinson Street Dewey Beach DE 19971,38.6900344,-75.0761719
83730365,The Rusty Rudder,113 Dickinson Street Dewey Beach DE 19971,38.6900344,-75.0761719
P328468,KEENANS IRISH PUB I,113 Olde New Jersey Ave North Wildwood NJ 08260,39.0081343,-74.7931801
P328469,KEENANS IRISH PUB II,113 Olde New Jersey Ave North Wildwood NJ 08260,39.0081343,-74.7931801
P328470,KEENANS IRISH PUB III,113 Olde New Jersey Ave North Wildwood NJ 08260,39.0081343,-74.7931801
83730245,Dover Downs - Atrium,1131 N DuPont Hwy Dover DE 19901,39.1888607,-75.532947
83730241,Dover Downs - Hallway I,1131 N Dupont Hwy Dover DE 19901,39.1888607,-75.532947
